lga_code16,lga_name16,lga_state16
10050,Albury,New South Wales
10130,Armidale Regional,New South Wales
10250,Ballina,New South Wales
10300,Balranald,New South Wales
10470,Bathurst Regional,New South Wales
10550,Bega Valley,New South Wales
10600,Bellingen,New South Wales
10650,Berrigan,New South Wales
10750,Blacktown,New South Wales
10800,Bland,New South Wales
10850,Blayney,New South Wales
10900,Blue Mountains,New South Wales
10950,Bogan,New South Wales
11100,Botany Bay,New South Wales
11150,Bourke,New South Wales
11200,Brewarrina,New South Wales
11250,Broken Hill,New South Wales
11300,Burwood,New South Wales
11350,Byron,New South Wales
11400,Cabonne,New South Wales
11450,Camden,New South Wales
11500,Campbelltown (NSW),New South Wales
11520,Canada Bay,New South Wales
11570,Canterbury-Bankstown,New South Wales
11600,Carrathool,New South Wales
11650,Central Coast (NSW),New South Wales
11700,Central Darling,New South Wales
11720,Cessnock,New South Wales
11730,Clarence Valley,New South Wales
11750,Cobar,New South Wales
11800,Coffs Harbour,New South Wales
12000,Coolamon,New South Wales
12150,Coonamble,New South Wales
12350,Cowra,New South Wales
12380,Cumberland,New South Wales
12700,Dungog,New South Wales
12730,Edward River,New South Wales
12750,Eurobodalla,New South Wales
12850,Fairfield,New South Wales
12870,Federation,New South Wales
12900,Forbes,New South Wales
12930,Georges River,New South Wales
12950,Gilgandra,New South Wales
13010,Glen Innes Severn,New South Wales
13310,Goulburn Mulwaree,New South Wales
13340,Greater Hume Shire,New South Wales
13450,Griffith,New South Wales
13510,Gundagai,New South Wales
13550,Gunnedah,New South Wales
13660,Gwydir,New South Wales
13800,Hawkesbury,New South Wales
13850,Hay,New South Wales
13910,Hilltops,New South Wales
14000,Hornsby,New South Wales
14100,Hunters Hill,New South Wales
14170,Inner West,New South Wales
14200,Inverell,New South Wales
14300,Junee,New South Wales
14350,Kempsey,New South Wales
14400,Kiama,New South Wales
14500,Ku-ring-gai,New South Wales
14550,Kyogle,New South Wales
14600,Lachlan,New South Wales
14650,Lake Macquarie,New South Wales
14700,Lane Cove,New South Wales
14750,Leeton,New South Wales
14850,Lismore,New South Wales
14870,Lithgow,New South Wales
14900,Liverpool,New South Wales
14920,Liverpool Plains,New South Wales
14950,Lockhart,New South Wales
15050,Maitland,New South Wales
15240,Mid-Coast,New South Wales
15270,Mid-Western Regional,New South Wales
15300,Moree Plains,New South Wales
15350,Mosman,New South Wales
15520,Murray River,New South Wales
15560,Murrumbidgee,New South Wales
15650,Muswellbrook,New South Wales
15700,Nambucca,New South Wales
15750,Narrabri,New South Wales
15800,Narrandera,New South Wales
15850,Narromine,New South Wales
15900,Newcastle,New South Wales
15950,North Sydney,New South Wales
15990,Northern Beaches,New South Wales
16100,Oberon,New South Wales
16150,Orange,New South Wales
16200,Parkes,New South Wales
16260,Parramatta,New South Wales
16350,Penrith,New South Wales
16380,Port Macquarie-Hastings,New South Wales
16400,Port Stephens,New South Wales
16490,Queanbeyan-Palerang Regional,New South Wales
16550,Randwick,New South Wales
16610,Richmond Valley,New South Wales
16650,Rockdale,New South Wales
16700,Ryde,New South Wales
